Date,Open,High,Low,Close,Volume
2016-10-20,94.4,95.0,89.81,90.64,16101886
2016-10-21,89.57,91.5,89.37,90.37,8288705
2016-10-24,90.78,91.49,89.77,89.88,7037950
2016-10-25,89.73,90.42,89.15,89.99,5599063
2016-10-26,90.02,90.02,88.63,89.05,4750218
2016-10-27,89.21,89.39,88.58,88.82,4367098
2016-10-28,88.94,89.32,87.79,88.37,3784440
2016-10-31,88.75,89.07,88.11,88.18,3681197
2016-11-01,88.65,88.89,87.06,87.89,3980465
2016-11-02,88.08,89.31,87.74,88.69,4437434
2016-11-03,88.68,89.64,88.25,88.77,4468624
2016-11-04,88.7,89.48,88.38,88.76,3745735
2016-11-07,90.0,90.88,89.85,90.75,4556539
2016-11-08,90.79,90.96,89.72,90.6,4268481
2016-11-09,87.88,94.96,87.88,93.95,9655178
2016-11-10,95.13,98.79,95.03,97.49,8952910
2016-11-11,97.05,97.7,95.67,96.88,6664208
2016-11-14,97.52,100.63,97.51,99.43,6616974
2016-11-15,99.18,99.54,97.92,99.11,4263230
2016-11-16,98.38,99.06,97.72,98.01,2866059
2016-11-17,97.72,98.94,97.48,98.81,4377253
2016-11-18,98.93,100.0,98.6,99.83,3653396
2016-11-21,100.1,101.63,100.0,100.75,3385295
2016-11-22,101.1,101.22,100.39,100.49,3350906
2016-11-23,100.71,101.7,100.66,101.39,3154390
2016-11-25,101.45,102.16,101.13,102.1,1680892
2016-11-28,101.32,101.39,100.43,100.69,3533805
2016-11-29,100.53,101.05,100.1,100.57,2945866
2016-11-30,101.36,102.73,101.26,101.33,6190737
2016-12-01,101.84,103.96,101.61,103.39,4748212
2016-12-02,103.38,103.6,102.02,102.65,3510987
2016-12-05,103.32,103.75,102.81,102.84,3459291
2016-12-06,103.0,103.31,102.3,103.15,3228379
2016-12-07,103.49,106.5,102.72,106.33,4936148
2016-12-08,106.32,106.62,104.74,105.37,3862023
2016-12-09,104.89,105.48,104.03,104.99,4098752
2016-12-12,105.33,105.33,102.91,104.32,4136458
2016-12-13,104.59,104.74,103.12,104.04,4144313
2016-12-14,104.25,104.83,102.67,102.82,3549583
2016-12-15,102.98,104.94,102.51,104.68,4480079
2016-12-16,104.74,104.97,103.05,103.31,6610332
2016-12-19,103.08,103.89,102.63,103.4,2859356
2016-12-20,103.81,104.77,103.54,104.65,3026742
2016-12-21,104.7,105.55,104.05,104.65,2210931
2016-12-22,104.12,105.28,103.37,105.19,2994977
2016-12-23,105.23,105.27,104.32,105.18,2146289
2016-12-27,105.51,105.93,105.21,105.71,1518210
2016-12-28,105.75,106.32,104.59,104.76,1799018
2016-12-29,104.88,105.25,103.99,104.42,2122874
2016-12-30,104.18,104.84,103.25,103.68,2914717
2017-01-03,104.48,105.29,102.07,102.52,3824319
2017-01-04,102.89,104.31,102.51,103.14,3668252
2017-01-05,103.03,103.36,101.22,102.13,4180402
2017-01-06,102.03,103.77,101.2,103.19,3862483
2017-01-09,103.73,103.74,101.9,102.42,2968866
2017-01-10,102.56,104.24,101.91,103.42,3563134
2017-01-11,103.35,104.83,103.03,104.27,2864793
2017-01-12,104.27,104.96,103.35,104.7,2396981
2017-01-13,104.51,105.45,104.28,105.25,2744027
2017-01-17,104.7,104.82,102.85,103.37,3401751
2017-01-18,102.26,104.37,101.53,103.77,5363940
2017-01-19,108.21,108.98,105.44,106.24,10103890
2017-01-20,106.83,108.64,106.61,108.6,6439985
2017-01-23,108.64,108.64,106.93,107.99,3932165
2017-01-24,108.15,109.25,107.6,108.72,4564911
2017-01-25,109.29,111.0,109.01,110.42,5137933
2017-01-26,110.25,111.38,109.48,110.15,4607237
2017-01-27,110.35,110.36,108.14,109.2,3555413
2017-01-30,108.94,108.96,106.34,108.0,5334240
2017-01-31,108.13,108.58,106.22,106.58,4534644
2017-02-01,107.04,108.07,106.4,107.7,4374556
2017-02-02,107.2,107.58,105.9,107.3,4225899
2017-02-03,107.48,108.84,107.35,108.51,3249621
2017-02-06,108.36,108.69,107.58,107.69,2858095
2017-02-07,108.19,108.76,107.35,107.65,3493417
2017-02-08,107.52,107.92,106.27,107.34,3901384
2017-02-09,107.58,107.88,107.12,107.42,3603917
2017-02-10,107.88,108.49,107.71,107.87,2777986
2017-02-13,108.09,109.3,107.89,108.32,2640583
2017-02-14,108.07,109.16,107.74,109.16,2890490
2017-02-15,108.53,109.99,108.17,109.78,3352946
2017-02-16,109.48,110.0,108.5,109.39,2811146
2017-02-17,109.43,109.82,107.96,109.82,4246454
2017-02-21,110.0,110.82,109.35,109.67,4169786
2017-02-22,109.18,109.44,107.95,108.87,4206115
2017-02-23,109.14,109.5,106.26,106.7,4876600
2017-02-24,105.61,107.76,105.17,107.74,4632503
2017-02-27,107.82,108.0,106.48,107.5,3288452
2017-02-28,107.53,108.08,107.09,107.94,3756611
2017-03-01,109.04,110.65,109.04,110.11,4064942
2017-03-02,110.05,110.24,108.91,109.05,2739930
2017-03-03,109.08,109.28,108.24,109.02,2304907
2017-03-06,108.76,109.64,108.5,109.43,2989131
2017-03-07,109.1,109.52,108.16,108.36,3331169
2017-03-08,108.36,108.46,106.41,106.71,3460636
2017-03-09,106.81,107.14,105.74,106.18,4131220
2017-03-10,106.89,106.99,105.72,106.28,3316159
2017-03-13,106.36,106.79,105.95,106.45,3514754
2017-03-14,105.95,106.28,104.32,104.37,4303769
2017-03-15,104.59,106.14,104.1,105.58,3496080
2017-03-16,105.5,106.32,105.0,105.45,3645284
2017-03-17,105.43,106.05,105.1,105.99,11395366
2017-03-20,105.75,105.98,105.0,105.08,3444884
2017-03-21,105.44,105.61,103.2,103.65,3846337
2017-03-22,103.55,104.5,103.07,104.06,4101194
2017-03-23,103.99,105.14,103.6,103.87,2587663
2017-03-24,103.99,104.61,103.44,103.96,2734658
2017-03-27,102.9,104.52,102.41,104.02,3811987
2017-03-28,104.05,105.89,103.83,105.5,4237112
2017-03-29,104.81,106.17,104.41,105.58,2904963
2017-03-30,105.74,107.46,105.32,106.94,2961042
2017-03-31,106.98,107.09,105.9,105.92,2888327
2017-04-03,106.16,106.78,105.08,105.5,2888992
2017-04-04,105.71,107.24,105.13,107.2,3445417
2017-04-05,107.95,109.54,106.57,106.76,2938117
2017-04-06,104.79,107.39,104.77,107.07,4556134
2017-04-07,107.33,107.78,106.57,107.03,2204957
2017-04-10,107.57,108.39,107.45,107.62,2631713
2017-04-11,107.21,107.77,106.26,107.61,2298810
2017-04-12,108.08,108.13,105.48,105.57,3046399
2017-04-13,105.5,106.07,104.78,104.78,2372742
2017-04-17,104.9,106.01,104.12,105.98,2773913
2017-04-18,105.48,106.68,105.19,106.24,2767039
2017-04-19,106.79,107.78,106.27,106.79,3344342
2017-04-20,108.17,109.35,107.87,107.9,4201628
2017-04-21,108.2,108.78,107.63,108.28,3144008
2017-04-24,109.5,109.98,109.16,109.33,3217977
2017-04-25,109.33,110.76,109.06,110.48,3990667
2017-04-26,110.55,111.96,109.83,110.17,6303738
2017-04-27,112.02,115.15,111.89,113.53,5156602
2017-04-28,113.53,113.95,111.31,111.96,3554678
2017-05-01,112.43,112.68,111.6,111.6,2888285
2017-05-02,111.75,112.28,110.94,111.09,3820268
2017-05-03,110.66,111.21,110.34,110.88,2696480
2017-05-04,111.21,111.6,110.12,110.33,2627818
2017-05-05,110.59,110.75,110.12,110.72,3078873
2017-05-08,110.39,110.79,109.75,110.02,3426134
2017-05-09,109.86,110.62,109.52,109.96,2423627
2017-05-10,110.12,110.12,108.97,109.32,3551218
2017-05-11,108.99,110.62,108.74,110.1,3837700
2017-05-12,109.65,110.79,109.65,110.48,3609889
2017-05-15,110.56,111.53,110.5,111.28,2477478
2017-05-16,111.72,111.83,110.6,111.0,2567863
2017-05-17,110.02,110.23,106.38,106.56,4445119
2017-05-18,106.13,108.62,105.5,107.14,4642329
2017-05-19,107.4,108.13,106.84,107.05,3600665
2017-05-22,107.53,108.1,106.81,107.83,3023784
2017-05-23,107.96,108.45,107.29,108.0,2732565
2017-05-24,107.9,108.64,107.44,108.05,2971600
2017-05-25,108.62,109.96,108.18,109.7,3872729
2017-05-26,108.81,110.75,108.54,110.57,3901921
