Date,Open,High,Low,Close,Volume
2016-06-14,70.21,71.64,68.54,70.0,2021086
2016-06-15,70.29,71.35,69.29,69.84,1346641
2016-06-16,67.54,67.86,65.04,67.01,4257763
2016-06-17,67.64,68.79,67.21,67.62,3108914
2016-06-20,69.5,70.1,68.83,68.85,1958986
2016-06-21,69.2,69.48,67.95,68.96,1224546
2016-06-22,69.46,70.04,68.82,69.01,1105724
2016-06-23,70.36,72.25,70.36,72.23,1452660
2016-06-24,68.42,69.86,65.95,66.25,2940974
2016-06-27,65.44,65.66,61.78,62.27,2057986
2016-06-28,63.5,64.08,61.83,62.97,2265860
2016-06-29,63.9,66.0,63.5,65.49,1701143
2016-06-30,65.9,67.12,64.68,67.1,1741264
2016-07-01,66.96,67.5,65.81,66.58,2127368
2016-07-05,65.88,66.34,62.63,63.47,1722885
2016-07-06,62.81,63.86,61.92,63.66,1897498
2016-07-07,64.15,65.74,63.8,64.63,1971489
2016-07-08,65.59,67.6,65.59,67.44,1274635
2016-07-11,68.09,69.22,68.05,68.26,966370
2016-07-12,69.38,70.56,69.22,70.29,1699905
2016-07-13,70.48,70.89,68.46,69.24,1536358
2016-07-14,68.74,70.06,67.81,69.59,1330152
2016-07-15,69.98,70.96,69.53,70.12,1403265
2016-07-18,69.87,69.87,68.65,69.18,1500363
2016-07-19,68.41,68.63,67.09,67.93,1816240
2016-07-20,68.0,70.09,67.64,69.86,2774352
2016-07-21,76.07,80.68,75.41,76.25,9560155
2016-07-22,76.89,78.58,75.51,78.22,3599976
2016-07-25,78.1,79.33,77.89,78.34,2384025
2016-07-26,78.3,80.35,78.24,80.04,2316329
2016-07-27,80.6,81.5,79.48,80.55,1841123
2016-07-28,80.34,80.6,78.94,79.84,1533315
2016-07-29,79.62,80.0,78.66,79.67,1582570
2016-08-01,79.63,79.65,76.79,77.35,2461763
2016-08-02,77.58,78.05,74.33,75.32,2224609
2016-08-03,75.47,76.71,75.32,76.6,1284724
2016-08-04,76.17,77.22,75.93,76.93,1222879
2016-08-05,77.52,79.78,77.23,79.45,1804054
2016-08-08,79.96,80.76,79.08,79.47,1017708
2016-08-09,79.1,80.82,78.53,78.84,1409766
2016-08-10,79.24,79.3,77.74,77.86,1056394
2016-08-11,78.49,79.42,78.01,78.89,1389729
2016-08-12,78.68,79.47,77.85,78.37,1223268
2016-08-15,78.67,79.69,78.64,79.23,1160184
2016-08-16,79.08,79.25,77.77,77.88,1154230
2016-08-17,77.92,78.05,77.16,77.62,1035164
2016-08-18,78.16,81.37,78.16,80.81,2106073
2016-08-19,80.24,80.57,79.12,80.23,1387940
2016-08-22,79.68,80.51,79.01,80.13,1128417
2016-08-23,80.73,82.5,80.69,82.12,1774621
2016-08-24,81.96,82.83,80.68,80.96,1482302
2016-08-25,80.73,81.61,80.6,81.21,932966
2016-08-26,81.57,83.76,81.42,82.26,1867704
2016-08-29,82.25,83.59,82.06,82.89,1067152
2016-08-30,82.91,83.67,82.26,82.82,1019147
2016-08-31,82.5,82.6,80.78,82.31,1695488
2016-09-01,82.0,82.3,79.7,81.16,1384096
2016-09-02,81.95,83.04,81.68,81.96,937209
2016-09-06,81.96,82.34,81.34,81.96,979105
2016-09-07,82.52,84.0,81.99,83.92,1869855
2016-09-08,83.88,84.63,82.85,83.88,1333708
2016-09-09,82.4,82.71,77.88,77.9,2616264
2016-09-12,77.03,80.03,76.54,79.88,2000412
2016-09-13,78.66,79.09,76.53,77.01,2349478
2016-09-14,77.17,79.09,76.62,78.69,1829464
2016-09-15,78.72,79.63,78.19,79.31,1341593
2016-09-16,78.32,78.68,77.07,77.64,2139375
2016-09-19,78.77,80.34,78.45,79.18,1172239
2016-09-20,79.49,79.49,75.56,75.56,2470635
2016-09-21,76.34,76.96,74.6,75.66,2638985
2016-09-22,76.42,76.89,74.97,75.39,2330978
2016-09-23,75.28,77.24,74.99,75.55,2158085
2016-09-26,75.36,76.0,73.82,73.95,1994297
2016-09-27,73.52,73.95,72.85,73.22,1916232
2016-09-28,73.47,75.29,73.23,75.14,2529137
2016-09-29,75.0,76.98,74.76,76.34,2522367
2016-09-30,77.11,78.91,76.86,78.49,2598349
2016-10-03,78.38,79.54,78.02,78.93,1657868
2016-10-04,80.15,80.88,78.83,79.16,1970021
2016-10-05,79.98,81.54,79.63,80.58,2055415
2016-10-06,80.64,83.56,80.64,83.21,2570612
2016-10-07,82.83,82.83,80.42,80.76,2086308
2016-10-10,81.39,82.24,80.69,81.28,1316823
2016-10-11,81.28,81.28,78.94,79.5,1341809
2016-10-12,79.61,80.56,79.18,80.18,1073938
2016-10-13,79.13,79.16,77.17,78.21,1542540
2016-10-14,76.39,76.9,75.05,75.27,2695566
2016-10-17,74.91,76.02,74.31,75.7,2203747
2016-10-18,76.86,77.22,76.06,76.44,1768583
2016-10-19,76.65,76.85,75.44,75.58,2826333
2016-10-20,80.0,81.5,77.04,79.13,4268736
2016-10-21,78.3,79.8,78.04,79.18,1785395
2016-10-24,78.65,78.65,76.35,76.57,2169788
2016-10-25,76.2,77.48,75.6,76.49,1967652
2016-10-26,75.92,76.82,75.31,76.19,1834452
2016-10-27,76.59,76.78,75.4,76.27,1358518
2016-10-28,76.36,76.72,74.86,75.39,1380997
2016-10-31,75.6,75.95,74.9,75.66,1361533
2016-11-01,75.89,76.06,72.26,73.03,1943089
2016-11-02,72.61,73.36,70.58,70.92,2378402
2016-11-03,71.31,73.03,70.74,72.29,2340051
2016-11-04,72.37,73.75,71.55,72.16,1783799
2016-11-07,74.39,76.16,74.24,76.11,1712246
2016-11-08,75.4,76.24,74.43,75.87,1817198
2016-11-09,82.9,90.07,82.7,88.86,9739027
2016-11-10,89.04,92.8,88.46,89.5,4807380
2016-11-11,88.96,91.23,88.17,91.2,2953164
2016-11-14,91.9,96.6,91.28,94.69,3713596
2016-11-15,93.91,94.18,91.57,94.14,2062710
2016-11-16,91.01,93.2,90.78,92.12,1948065
2016-11-17,92.0,92.88,91.51,92.23,1181109
2016-11-18,92.74,92.8,90.77,90.95,1449679
2016-11-21,91.87,94.15,91.72,93.86,2048436
2016-11-22,94.39,94.6,93.28,94.06,1380926
2016-11-23,94.23,97.67,94.23,97.35,2451183
2016-11-25,97.35,98.12,96.76,98.12,652259
2016-11-28,97.11,97.93,94.83,96.19,1977582
2016-11-29,94.59,97.29,94.2,96.3,1586882
2016-11-30,98.51,101.87,98.51,101.11,3275398
2016-12-01,101.47,105.7,101.24,104.29,3847652
2016-12-02,103.89,105.57,103.25,104.85,2206761
2016-12-05,105.27,106.42,104.87,105.31,1904005
2016-12-06,104.62,107.58,104.4,107.17,1524927
2016-12-07,107.02,109.75,106.76,109.12,1926973
2016-12-08,109.39,109.9,106.59,108.3,1871984
2016-12-09,108.68,109.63,107.25,108.0,1527643
2016-12-12,108.68,108.83,103.71,107.03,1848405
2016-12-13,106.88,107.4,105.36,106.3,1602468
2016-12-14,105.59,107.16,104.65,105.05,1399603
2016-12-15,104.88,108.24,104.22,107.14,1907407
2016-12-16,107.42,107.49,105.56,105.71,1998191
2016-12-19,106.18,107.68,105.64,106.27,982815
2016-12-20,106.46,108.06,106.14,107.25,1013761
2016-12-21,107.06,108.62,106.95,108.48,1480679
2016-12-22,108.26,108.98,106.11,106.86,1047870
2016-12-23,107.46,108.53,107.46,108.06,539649
2016-12-27,108.5,109.31,108.25,108.58,584306
2016-12-28,108.76,109.55,105.73,106.21,1170003
2016-12-29,106.58,107.77,105.87,106.7,751568
2016-12-30,107.1,107.55,104.7,105.58,1168489
2017-01-03,107.88,110.79,107.3,109.31,1903183
2017-01-04,109.5,110.5,108.4,109.87,1090853
2017-01-05,109.9,111.81,108.22,110.15,1348320
2017-01-06,110.29,111.0,108.91,109.38,1147753
2017-01-09,108.12,108.9,106.12,106.16,1811425
2017-01-10,106.81,110.61,106.81,108.9,2139026
2017-01-11,108.91,109.99,107.69,109.26,1538483
2017-01-12,109.0,109.35,105.33,106.54,1490947
2017-01-13,106.5,108.3,106.24,107.05,953646
2017-01-17,106.72,108.11,105.65,107.23,1219629
2017-01-18,107.47,111.3,107.09,111.02,2067511
2017-01-19,110.71,112.5,109.61,110.45,1614742
2017-01-20,110.98,111.94,110.44,111.19,1252302
2017-01-23,110.98,111.25,109.41,110.11,1312167
2017-01-24,111.15,114.47,110.52,113.61,1783756
2017-01-25,115.0,115.61,112.59,114.26,3048053
2017-01-26,123.42,129.39,122.05,127.06,6527764
2017-01-27,126.6,128.64,125.2,128.26,2471217
2017-01-30,128.74,128.93,124.72,128.77,2762396
2017-01-31,129.0,129.6,124.13,126.51,3671240
2017-02-01,127.53,131.19,127.53,129.89,2868404
2017-02-02,127.34,128.9,126.28,127.09,1764819
2017-02-03,127.82,129.6,127.82,128.65,1576429
2017-02-06,127.8,128.72,125.88,126.31,1382357
2017-02-07,126.68,127.49,125.4,126.24,1255041
2017-02-08,125.89,125.89,123.06,124.65,1863360
2017-02-09,125.0,126.64,123.77,125.44,1531925
2017-02-10,126.15,127.54,125.39,127.12,1313726
2017-02-13,127.31,128.91,127.15,127.78,1789809
2017-02-14,127.24,129.0,126.06,128.79,953538
2017-02-15,128.5,129.57,127.18,129.18,1135234
2017-02-16,128.67,129.28,126.43,127.86,989567
2017-02-17,126.95,126.95,125.02,126.03,1120698
2017-02-21,126.65,129.52,126.44,128.93,1311905
2017-02-22,127.84,128.14,126.35,128.06,1125137
2017-02-23,129.06,129.86,120.34,120.9,3065963
2017-02-24,119.36,124.7,119.11,124.15,2269350
2017-02-27,124.71,128.86,124.21,128.21,1748867
2017-02-28,126.81,128.69,126.0,128.03,1539734
2017-03-01,130.79,134.28,130.77,133.36,2489110
2017-03-02,133.11,133.24,128.65,129.01,1962750
2017-03-03,129.01,130.15,126.92,128.72,1470844
2017-03-06,127.22,130.16,126.9,129.78,1443563
2017-03-07,129.37,130.5,127.46,128.15,1497110
2017-03-08,128.84,129.98,124.16,124.3,2010196
2017-03-09,124.0,125.22,120.59,121.98,3077047
2017-03-10,123.85,124.8,121.34,122.95,1453985
2017-03-13,122.98,125.06,122.98,124.2,1362806
2017-03-14,122.16,122.18,119.3,122.12,2049695
2017-03-15,123.2,127.04,122.76,126.35,2135101
2017-03-16,127.0,128.46,124.92,125.28,1369699
2017-03-17,125.72,126.78,125.15,125.19,977990
2017-03-20,124.47,125.84,123.01,124.99,950029
2017-03-21,125.33,125.75,119.59,120.01,1795441
2017-03-22,119.33,121.48,118.14,120.38,1394253
2017-03-23,119.7,122.48,119.43,120.82,1058618
2017-03-24,121.33,122.75,119.53,120.69,1259849
2017-03-27,117.46,120.01,115.1,119.56,1422380
2017-03-28,119.59,124.66,119.22,123.24,1636583
2017-03-29,123.06,125.03,122.57,123.64,1069554
2017-03-30,123.66,124.55,122.97,124.17,873688
2017-03-31,123.35,126.19,123.18,125.05,979314
2017-04-03,125.11,125.28,121.62,123.83,1258014
2017-04-04,123.12,124.89,122.73,123.77,831541
2017-04-05,125.0,126.76,120.28,121.06,1657547
2017-04-06,121.51,124.96,121.2,124.0,1263309
2017-04-07,123.59,125.43,123.08,123.41,1264630
2017-04-10,124.37,126.57,123.94,125.96,1442285
2017-04-11,125.99,126.56,124.02,125.93,954204
2017-04-12,125.56,126.06,120.82,121.13,1505961
2017-04-13,121.32,123.21,119.25,119.29,1324175
2017-04-17,120.01,120.97,119.05,120.95,1302928
2017-04-18,119.77,120.5,117.93,119.86,1339190
2017-04-19,120.96,122.59,118.98,119.45,2840120
2017-04-20,113.74,114.64,110.6,113.24,6931688
2017-04-21,112.9,113.25,108.82,111.46,3743439
2017-04-24,113.71,114.79,113.11,113.56,2589236
2017-04-25,114.35,115.23,112.53,113.3,2021258
2017-04-26,113.3,114.86,113.17,113.4,1534379
2017-04-27,112.89,113.4,108.01,109.52,2798760
2017-04-28,111.94,112.88,109.23,109.66,2562314
2017-05-01,109.81,110.0,107.06,108.88,1640155
2017-05-02,108.98,109.78,107.62,108.62,1400893
2017-05-03,107.67,108.77,106.61,107.7,1434252
2017-05-04,107.7,107.93,105.73,107.36,1606037
2017-05-05,107.57,109.05,106.85,108.96,1365250
2017-05-08,110.74,112.15,110.68,111.68,2212846
2017-05-09,112.02,112.55,111.07,111.7,1324199
2017-05-10,111.75,114.95,111.37,114.23,1779940
2017-05-11,113.8,115.17,111.38,114.43,1491353
2017-05-12,113.6,113.66,111.24,112.16,1200066
2017-05-15,113.13,114.75,112.65,113.83,1333047
2017-05-16,113.68,114.02,110.62,111.72,1357993
2017-05-17,109.94,110.5,104.72,105.1,2397764
2017-05-18,104.21,107.4,102.73,106.5,2588699
2017-05-19,106.92,110.59,106.91,110.1,1706189
2017-05-22,110.68,111.26,109.19,110.6,1006998
2017-05-23,110.58,111.31,109.26,111.3,1047870
2017-05-24,111.21,113.35,110.27,110.81,1457946
2017-05-25,110.86,113.93,110.26,111.4,1684925
2017-05-26,111.0,111.86,109.95,111.17,787333
