Date,Open,High,Low,Close,Volume
2016-08-19,110.02,110.02,108.87,109.28,253156
2016-08-22,109.28,110.13,108.83,109.9,386906
2016-08-23,109.99,110.5,109.47,109.68,461531
2016-08-24,109.77,109.88,108.82,109.01,334662
2016-08-25,109.26,110.14,108.99,109.24,297337
2016-08-26,109.5,110.18,107.92,108.27,349672
2016-08-29,108.93,110.05,108.93,109.74,213863
2016-08-30,109.97,110.34,108.7,110.29,247332
2016-08-31,110.19,110.4,109.82,110.09,746007
2016-09-01,110.23,110.4,109.24,109.99,368309
2016-09-02,110.54,112.35,110.54,111.85,646388
2016-09-06,112.05,112.48,111.49,112.41,432075
2016-09-07,112.43,114.52,112.39,114.52,366479
2016-09-08,114.15,114.62,113.53,113.59,478467
2016-09-09,112.25,112.83,105.94,106.31,867816
2016-09-12,106.08,109.25,105.55,108.82,503657
2016-09-13,108.42,108.42,103.79,104.43,537674
2016-09-14,104.7,105.64,104.22,105.18,294320
2016-09-15,105.09,105.88,104.59,105.67,288195
2016-09-16,104.96,106.52,104.62,106.25,836372
2016-09-19,106.67,108.08,106.22,108.0,349455
2016-09-20,108.7,108.7,107.68,108.06,337408
2016-09-21,108.38,110.55,107.53,110.36,426975
2016-09-22,111.36,113.17,111.36,113.03,417692
2016-09-23,112.33,113.74,111.69,113.39,316099
2016-09-26,112.91,114.22,112.47,113.81,276284
2016-09-27,114.38,114.67,112.37,112.54,254919
2016-09-28,111.91,113.02,111.35,112.8,351229
2016-09-29,112.15,112.15,109.44,109.79,451860
2016-09-30,110.3,110.61,108.61,108.77,676003
2016-10-03,108.31,108.51,106.19,106.31,414046
2016-10-04,106.02,106.57,104.72,105.53,325006
2016-10-05,106.04,106.63,103.37,103.44,303117
2016-10-06,102.78,104.35,101.8,104.03,338412
2016-10-07,104.62,105.63,103.39,103.88,633802
2016-10-10,104.07,105.15,103.94,104.2,292716
2016-10-11,104.03,105.38,101.51,101.92,692225
2016-10-12,102.0,103.61,102.0,103.25,897760
2016-10-13,103.13,104.34,102.46,103.9,850351
2016-10-14,103.74,105.41,103.23,103.87,525573
2016-10-17,103.86,104.7,103.72,104.16,647952
2016-10-18,104.81,105.55,104.17,105.05,926028
2016-10-19,104.81,105.31,104.45,105.28,1064773
2016-10-20,105.15,106.73,105.01,106.32,365064
2016-10-21,105.53,106.82,105.19,106.75,376064
2016-10-24,108.08,108.08,106.0,106.72,252628
2016-10-25,106.28,107.63,105.58,107.34,427439
2016-10-26,106.82,106.82,105.22,106.16,451652
2016-10-27,106.02,106.02,104.03,105.12,555748
2016-10-28,105.25,106.01,104.46,104.91,295409
2016-10-31,105.68,108.04,104.86,107.81,555590
2016-11-01,107.44,109.45,105.52,107.35,798754
2016-11-02,107.22,107.63,104.45,104.55,646096
2016-11-03,105.02,105.09,102.42,102.5,861296
2016-11-04,102.55,103.31,101.73,103.0,612519
2016-11-07,104.53,106.23,104.07,106.03,342623
2016-11-08,106.15,107.44,104.5,107.08,345628
2016-11-09,104.7,109.43,103.66,109.06,787632
2016-11-10,109.1,110.21,105.8,105.93,1131587
2016-11-11,105.91,107.55,104.29,104.46,744108
2016-11-14,104.36,106.31,103.32,106.24,1066659
2016-11-15,106.8,108.24,105.23,106.6,497858
2016-11-16,106.46,107.04,104.87,106.9,370885
2016-11-17,106.82,108.05,106.49,107.31,317587
2016-11-18,107.51,107.91,106.99,107.4,291280
2016-11-21,107.89,108.89,107.89,108.55,443518
2016-11-22,109.04,111.53,109.04,111.07,623745
2016-11-23,109.65,110.74,109.27,110.62,476041
2016-11-25,110.86,112.36,110.86,111.96,215464
2016-11-28,112.05,113.06,111.36,112.12,438295
2016-11-29,112.26,114.02,111.56,111.72,697875
2016-11-30,110.82,111.32,108.98,109.59,1322727
2016-12-01,109.07,109.54,106.1,107.16,676465
2016-12-02,107.99,110.02,107.89,108.94,514446
2016-12-05,109.75,110.68,109.35,110.07,639257
2016-12-06,110.5,111.61,109.85,111.0,802649
2016-12-07,111.04,111.58,110.23,111.0,744200
2016-12-08,110.28,110.93,109.45,110.62,633616
2016-12-09,110.62,111.11,109.2,109.92,518642
2016-12-12,109.38,110.01,108.44,109.73,602308
2016-12-13,110.16,110.39,107.77,108.99,648033
2016-12-14,109.01,109.31,106.72,106.87,611401
2016-12-15,106.92,108.4,105.74,106.0,1392679
2016-12-16,106.66,108.88,106.34,107.97,1329621
2016-12-19,108.72,110.0,107.39,109.65,782797
2016-12-20,109.64,111.02,109.35,111.01,395933
2016-12-21,111.2,111.82,109.01,109.03,509739
2016-12-22,108.95,108.95,106.87,108.52,392654
2016-12-23,108.54,109.49,108.34,109.3,156974
2016-12-27,109.44,110.85,109.18,109.63,258349
2016-12-28,108.75,109.3,108.0,108.54,323124
2016-12-29,108.71,110.62,108.71,110.45,578080
2016-12-30,110.66,112.25,110.24,111.13,553141
2017-01-03,111.85,112.19,109.92,110.58,424745
2017-01-04,110.82,113.62,110.82,113.38,515908
2017-01-05,112.6,113.49,110.97,112.97,394850
2017-01-06,112.63,113.21,112.14,112.21,472333
2017-01-09,112.66,112.88,110.9,111.05,441583
2017-01-10,110.88,111.42,110.03,110.85,345541
2017-01-11,111.27,111.68,109.51,109.61,489253
2017-01-12,109.73,111.31,107.7,109.31,380062
2017-01-13,109.18,109.77,108.81,109.55,234077
2017-01-17,109.51,110.7,109.0,110.52,363985
2017-01-18,110.5,111.59,109.72,111.02,230455
2017-01-19,110.9,111.11,108.83,109.91,348776
2017-01-20,109.98,111.64,109.9,111.15,442684
2017-01-23,110.95,114.18,110.95,113.43,496242
2017-01-24,113.52,114.63,113.52,114.12,515684
2017-01-25,114.23,114.33,113.07,113.4,266516
2017-01-26,113.51,114.53,112.97,113.3,293438
2017-01-27,113.56,113.98,111.98,112.79,432703
2017-01-30,112.23,112.55,110.79,112.16,418175
2017-01-31,111.71,112.94,110.13,110.82,704131
2017-02-01,110.65,111.48,108.19,108.28,603199
2017-02-02,108.72,109.14,108.13,109.06,701732
2017-02-03,110.0,110.9,109.13,110.64,792919
2017-02-06,110.89,112.8,110.7,112.69,1040796
2017-02-07,112.68,114.01,112.68,113.24,591351
2017-02-08,113.28,115.07,112.57,114.54,666235
2017-02-09,114.79,115.46,114.25,114.98,622987
2017-02-10,114.92,115.15,114.22,114.37,2640902
2017-02-13,114.96,114.96,113.74,114.26,627307
2017-02-14,113.9,115.09,113.0,114.98,865868
2017-02-15,114.74,115.27,113.42,115.23,507555
2017-02-16,115.4,116.38,115.25,115.82,487278
2017-02-17,115.42,116.38,115.05,116.38,352130
2017-02-21,116.33,118.55,115.9,118.47,486110
2017-02-22,118.62,119.64,117.35,118.49,541924
2017-02-23,118.92,119.48,118.04,118.87,681895
2017-02-24,118.87,120.51,118.5,120.2,587158
2017-02-27,120.31,120.96,119.77,120.47,601076
2017-02-28,120.48,120.51,118.99,119.31,999091
2017-03-01,119.48,119.48,117.87,118.18,837466
2017-03-02,117.99,118.37,116.01,117.01,565773
2017-03-03,116.31,117.71,115.16,117.59,422920
2017-03-06,117.03,117.9,116.47,117.51,391987
2017-03-07,117.38,117.43,116.56,117.16,342600
2017-03-08,116.66,116.94,115.64,115.69,517147
2017-03-09,115.68,116.27,112.93,113.7,588015
2017-03-10,107.87,109.36,107.75,108.81,5443696
2017-03-13,109.26,109.99,108.69,109.09,2097847
2017-03-14,109.0,109.04,106.89,108.18,1120465
2017-03-15,108.42,111.06,108.13,110.41,1588818
2017-03-16,110.19,110.79,109.25,109.87,1129163
2017-03-17,110.0,111.24,109.86,110.27,16444344
2017-03-20,110.45,110.85,109.43,109.97,1504583
2017-03-21,111.11,111.35,110.0,110.7,1521040
2017-03-22,111.18,111.62,109.53,111.38,822730
2017-03-23,111.2,112.91,110.99,112.09,568593
2017-03-24,112.12,112.62,111.1,111.36,628393
2017-03-27,110.64,111.51,108.98,110.41,991987
2017-03-28,110.55,110.94,109.31,110.67,637079
2017-03-29,109.6,110.14,109.05,109.82,512973
2017-03-30,109.66,110.3,109.16,109.82,377565
2017-03-31,109.84,110.68,109.77,110.52,711557
2017-04-03,110.15,110.89,109.85,110.75,560496
2017-04-04,110.7,111.74,110.7,111.24,741506
2017-04-05,111.27,111.94,110.59,110.96,768251
2017-04-06,111.17,112.54,110.62,112.18,848597
2017-04-07,112.33,112.7,111.63,111.67,949354
2017-04-10,111.75,113.04,111.64,112.77,782333
2017-04-11,112.83,113.87,112.23,113.63,615002
2017-04-12,113.54,114.13,113.29,113.63,464221
2017-04-13,113.62,114.38,113.05,113.54,769473
2017-04-17,113.62,115.08,113.62,115.07,695473
2017-04-18,114.96,115.47,114.66,115.34,505469
2017-04-19,115.27,116.02,115.09,115.66,579797
2017-04-20,115.66,116.02,114.77,115.94,798866
2017-04-21,115.93,116.14,115.0,115.43,788479
2017-04-24,116.44,116.64,112.5,113.2,717432
2017-04-25,113.35,114.5,113.24,114.33,542836
2017-04-26,114.01,114.52,113.2,113.59,694465
2017-04-27,113.65,114.31,112.55,112.96,322015
2017-04-28,112.67,112.67,111.59,112.51,464377
2017-05-01,112.79,113.02,111.92,112.82,430819
2017-05-02,114.27,115.71,112.02,114.56,882289
2017-05-03,114.75,114.75,112.46,113.32,715400
2017-05-04,112.63,114.46,112.34,114.28,645762
2017-05-05,114.67,115.52,114.19,114.83,434043
2017-05-08,114.92,115.53,114.37,114.72,709151
2017-05-09,114.6,115.07,113.12,113.52,569531
2017-05-10,113.16,115.28,113.12,114.53,479320
2017-05-11,113.86,115.36,113.01,115.07,430502
2017-05-12,114.91,116.45,114.61,115.85,606410
2017-05-15,115.86,117.06,115.6,115.85,660492
2017-05-16,116.2,116.22,114.97,115.84,1004288
2017-05-17,115.69,117.74,115.69,116.53,833098
2017-05-18,116.41,117.5,115.08,117.09,744804
2017-05-19,116.94,118.19,116.68,117.67,479862
2017-05-22,118.03,118.66,117.59,117.9,373254
2017-05-23,118.1,119.37,117.98,118.61,507981
2017-05-24,118.56,119.1,118.25,118.28,511341
2017-05-25,119.02,119.02,117.3,117.36,459890
2017-05-26,117.45,117.7,116.98,117.27,303497
